,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
10395,20644,tt0509417,All Saints,S06E13 Breathing Space,2003,44,7.8,9
108552,340750,tt0868919,The Undersea World of Jacques Cousteau,\N,1969,60,9.2,9
93359,269729,tt0764361,Dog the Bounty Hunter,S01E07 The Godfather of Waikiki,2004,21,6.9,22
9774,19508,tt0508278,Alfred Hitchcock Presents,S05E27 The Cuckoo Clock,1960,30,7.0,430
40864,104338,tt0594557,Gunsmoke,S09E04 Tobe,1963,60,8.0,175
33553,85462,tt0575459,The Facts of Life,S04E02 The Source,1982,30,8.0,67
42102,107676,tt0598113,Hawaii Five-O,S01E20 Once Upon a Time: Part 2,1969,51,7.7,180
106704,331980,tt0857436,The Abbott and Costello Show,S02E20 Well Oiled,1954,27,7.9,34
148431,1044004,tt11322474,Sistas,S01E06 No Judgement,2019,42,5.9,31
107321,334614,tt0860690,Metsolat,S01E16 Lehmأ¤kauppoja,1993,48,6.7,25
72471,197373,tt0689040,Die Rosenheim-Cops,S03E05 Zoff im Kuhstall,2004,44,6.5,9
5330,8911,tt0394872,Schlitz Playhouse,S06E23 The Life You Save,1957,30,8.0,15
28466,69961,tt0559624,The Dick Powell Theatre,S01E06 Out of the Night,1961,60,7.4,17
97140,289223,tt0791935,Degrassi: The Next Generation,S01E13 Cabaret,2002,23,6.9,117
74926,204625,tt0696350,The Scooby-Doo/Dynomutt Hour,"S01E13 Scooby Doo, Where's the Crew?",1976,24,7.0,137
33944,86329,tt0576360,A Case for Two,"S03E03 Herr Pankratz, bitte!",1983,59,8.1,36
18275,39283,tt0528600,The Bold Ones: The New Doctors,S01E05 One Small Step for Man,1969,60,7.4,16
107368,334820,tt0861009,Dark Shadows,S01E247 Episode #1.247,1967,22,7.6,57
145918,987876,tt11198696,The Fungies,S01E01 Let It Snowball,2020,11,5.6,15
72563,198702,tt0690371,Round the Twist,S03E11 The Ice Cream Man Cometh,2000,25,8.0,22
8766,17409,tt0506049,The Adventures of Lano & Woodley,S02E01 The Pool,1999,28,9.5,33
143084,928270,tt11068746,QI,S17E06 Quests: Part I,2019,29,6.9,63
60557,161205,tt0652249,Mrs Merton & Malcolm,S01E04 Episode #1.4,1999,28,7.8,12
110887,354156,tt0887100,Tripping the Rift,"S02E13 Six, Lies and Videotape",2004,22,6.3,30
9249,18493,tt0507146,Airwolf,S03E18 Hawke's Run,1986,48,7.0,93
75008,204861,tt0696591,Scrubs,S03E02 My Journey,2003,24,7.8,1120
138984,837870,tt10875176,Miraculous: Tales of Ladybug & Cat Noir,S03E12 The Puppeteer 2,2019,21,7.7,289
37328,94117,tt0584233,Full House,S01E19 The Seven-Month Itch: Part 1,1988,25,7.0,339
145179,973343,tt11166672,Better Things,S04E02 She's Fifty,2020,29,7.7,269
60961,162434,tt0653487,"Murder, She Wrote",S12E09 Deadly Bidding,1995,47,7.2,220
114172,376327,tt0915647,EastEnders,S01E935 Episode #1.935,1994,28,7.0,8
104623,321532,tt0841324,MASK,S01E19 Ghost Bomb,1985,22,5.9,29
9131,17958,tt0506603,Adventures of Superman,S03E10 The Bully of Dry Gulch,1955,30,7.2,151
123013,435317,tt0994503,Prison Break,S04E07 Five the Hard Way,2008,42,8.0,3050
